"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Aguirre, 1","","Aguirre, 1 esquina Alcala","Madrid","28009","Aguirre, 1","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","01.04.2022","22.04.2022","Emplazamiento introducido","50%","50%","75%","01.10.2022","28.02.2023","Aumente, Alfonso","22.04.2022 Aumente, Alfonso (Others): Enviada oferta el 20/04/22. No han recibido la orden de ejecución, estan pidiendo presupuestos a diferentes constructoras. El emplazamiento, según comercial, solamente es valido para anunicar en fechas navideñas ya que tiene arboles en parte del recorrido.","40.251902","3.405291"
"Albacete 3","","M30/Avenida de América","Madrid","28027","","Andamio","","","","","185,294.12 €","150,000.00 €","35,294.12 €","390,000.01 €","172,960.01 €","B","31.07.2015","31.07.2015","Contrato firmado","100%","100%","100%","01.09.2015","31.01.2016","Arrogante, Juanjo Martinez","","40.442316","-3.658155"
"Alberto Aguilera 35","","Alberto Aguilera 35","Madrid","06","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","05.11.2012","13.01.2014","Negociaciones interrumpidas","50%","25%","50%","01.09.2013","31.12.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alberto Aguilera 70","","Alberto Aquilera 70","Madrid","28001","","Andamio","Jose Miguel Gutierrez","","914475214","gutierrezjm8@gmail.com","123,472.82 €","100,000.00 €","17,058.82 €","208,991.99 €","82,134.22 €","A","25.02.2016","17.05.2021","Negociaciones interrumpidas","50%","50%","100%","01.01.2020","31.12.2020","Carranza, Laura","11.06.2019 Ramon, Silvia (Phonecall): They are completely against advertisement, their last experience was absolutely disastrous. They ask us not to call them again","0.000000","0.000000"
"Alberto Aguilera, 30","","Alberto Aguilera, 30","Madrid","28015","Alberto Aguilera, 30","Andamio","","","","","143,450.00 €","125,000.00 €","13,200.00 €","55,850.00 €","22,041.78 €","B","12.01.2023","13.01.2023","Emplazamiento introducido","50%","50%","75%","15.02.2023","15.06.2023","Aumente, Alfonso","","0.000000","0.000000"
"Alcalá 102","","Alcalá 102","Madrid","1","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","22.06.2006","01.07.2011","Negociaciones interrumpidas","","","","01.07.2007","31.07.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 102","","alcalá 102","Madrid","01","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","15.06.2006","19.06.2012","Negociaciones interrumpidas","","","","01.06.2007","30.06.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 113","","Alcalá 113","Madrid","06","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","08.11.2012","05.03.2013","Negociaciones interrumpidas","50%","","","01.02.2013","30.04.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 118","","Alcalá 118","Madrid","28009","Alcalá 118","Andamio","Enrique Garrido ","","686945954","ejgordillod@hotmail.com","162,572.64 €","130,000.00 €","22,117.64 €","341,274.97 €","152,522.97 €","A","24.01.2019","20.06.2019","Contrato firmado","100%","50%","50%","01.05.2020","31.12.2020","Carranza, Laura","06.06.2019 Carranza, Laura (Dev Note): contract will be signed in the following week. Landlord had a couple of doubts already clarified","0.000000","0.000000"
"Alcalá 118 Medianera","","Alcalá 118 Medianera","Madrid","28009","Alcalá 118 Medianera","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","01.02.2019","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.01.2020","01.01.2023","Carranza, Laura","","0.000000","0.000000"
"Alcala 133","","Alcala 133","Madrid","28000","Alcala 133","Andamio","","","","","192,762.94 €","175,000.00 €","11,152.94 €","142,430.00 €","75,239.60 €","B","14.11.2019","13.08.2021","Negociaciones interrumpidas","50%","50%","50%","01.09.2020","30.11.2020","Carranza, Laura","","0.000000","0.000000"
"Alcalá 139","","Alcalá 139","Madrid","28001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","23.09.2015","13.10.2020","Perdido ante la competencia","50%","50%","50%","01.02.2016","30.04.2016","Arrogante, Juanjo Martinez","13.10.2020 Carranza, Laura (Dev Note): se lo queda urban en oct 2020. Pago fijo, pongan o no lona.","0.000000","0.000000"
"Alcalá 145","","Alcalá 145","Madrid","28002","Alcalá 145","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","13.11.2007","20.11.2008","Negociaciones interrumpidas","25%","","","01.02.2008","31.07.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 150","","Plaza Manuel Becerra/Alcalá 150","Madrid","08","","Andamio","","","","","87,477.76 €","78,000.00 €","9,477.76 €","103,581.09 €","92,362.84 €","B","10.08.2010","10.09.2010","Contrato firmado","100%","","","01.11.2010","31.05.2011","Arrogante, Juanjo Martinez","","40.427671","-3.669435"
"Alcalá 151","","Alcalá 151","Madrid","28001","","Andamio","","","","","186,000.00 €","165,000.00 €","21,000.00 €","316,875.00 €","125,961.00 €","A","31.05.2010","21.09.2010","Contrato firmado","100%","","","01.09.2010","30.11.2010","Arrogante, Juanjo Martinez","","40.424984","-3.675513"
"ALCALÁ 153","","Alcalá 153","Madrid","28009","Calle alcalá 153","Medianera","Siglo XXI","Álvaro Basols","607961159","info@siglo21.es","166,677.11 €","140,000.00 €","15,294.11 €","299,131.97 €","130,867.95 €","B","19.01.2018","27.06.2018","Contrato firmado","100%","100%","100%","17.09.2018","16.03.2019","Carranza, Laura","07.05.2018 Mertins, Michaela (Dev Note): Test Michaela 2","402531.000000","34029.920000"
"Alcala 155","","Alcala 155","Madrid","28001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","18.02.2016","08.02.2019","Negociaciones interrumpidas","50%","50%","100%","01.05.2016","30.09.2016","Carranza, Laura","","0.000000","0.000000"
"Alcalá 157","","Alcalá 157","Madrid","","Alcalá 157","Andamio","","","","","74,850.00 €","60,000.00 €","14,850.00 €","175,305.00 €","39,045.00 €","","19.05.2006","18.07.2006","Perdido ante la competencia","","","","01.01.0001","01.01.0001","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 171","","Alcalá 171","Madrid","06","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","04.05.2006","19.06.2012","Negociaciones interrumpidas","","","","01.06.2007","30.06.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 18","","Alcalá 18","Madrid","28014","Alcalá 18","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-80,000.00 €","A","27.01.2021","27.01.2021","Emplazamiento introducido","50%","50%","50%","01.10.2021","31.03.2022","Carranza, Laura","","0.000000","0.000000"
"Alcalá 181","","Alcalá 181","Madrid","28009","","Medianera","","","","","21,037.50 €","0.00 €","21,037.50 €","0.00 €","-1,300.00 €","C","31.05.2006","19.06.2012","Negociaciones interrumpidas","","","","15.01.2006","24.10.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 20","","Alcalá 20","Madrid","28003","Alcalá 20","Andamio","JUAN. PALACIO DE LOS RECREOS. ALCALÁ 2","","915212034","administracion@palaciodelosrecreos.com","121,818.35 €","105,000.00 €","9,882.35 €","140,507.99 €","49,059.99 €","B","18.12.2018","05.05.2021","Perdido ante la competencia","50%","50%","50%","01.05.2020","30.09.2020","Carranza, Laura","03.12.2019 Carranza, Laura (Dev Note): He will come back to me around January where seems to start moving after finishing the big works in the area","0.000000","0.000000"
"Alcalá 200","","Alcalá 200","Madrid","28000","Alcalá 200","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","08.03.2019","16.07.2019","Emplazamiento introducido","50%","50%","50%","01.06.2020","31.12.2020","Ramon, Silvia","15.07.2019 Ramon, Silvia (Dev Note): There was not Concierge in the Building. I’ve asked in a Restaurant that was in the building but they do not know. I’ve taken a picture of the companies which are in the building (one of them is an Administrator) and I will try to get the infos","0.000000","0.000000"
"Alcalá 204 Ventas","","Alcalá 204 Ventas","Madrid","28028","Alcalá 204 Ventas","Andamio","Admon. José Valdés","","914319176","jose@gfvaldes.com","154,904.70 €","125,000.00 €","21,764.70 €","282,809.98 €","93,197.98 €","A","14.11.2018","24.05.2019","Negociaciones interrumpidas","50%","50%","50%","01.07.2019","31.12.2019","Carranza, Laura","24.05.2019 Carranza, Laura (Dev Note): refurbish via vertical works. Total oposition from shops and some neighbours. There is nothing to do","0.000000","0.000000"
"Alcalá 204 Ventas","","Copy of Alcalá 204 Ventas","Madrid","28028","Alcalá 204 Ventas","Andamio","Admon. José Valdés","","914319176","jose@gfvaldes.com","154,904.70 €","125,000.00 €","21,764.70 €","141,404.99 €","43,824.99 €","A","14.11.2018","24.05.2019","Negociaciones interrumpidas","50%","50%","50%","14.06.2019","15.10.2019","Carranza, Laura","24.05.2019 Carranza, Laura (Dev Note): refurbish via vertical works. Total oposition from shops and some neighbours. There is nothing to do","0.000000","0.000000"
"Alcalá 22","","Alcalá 22","Madrid","01","","Andamio","","","","","59,890.00 €","50,000.00 €","5,000.00 €","78,030.00 €","61,734.00 €","B","17.05.2011","19.05.2011","Contrato firmado","100%","","","01.09.2011","31.12.2011","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 22","","Alcalá 22","Madrid","28000","Alcalá 22","Andamio","Admón Fincas Retiro SL","","914009697","jorgedomenech@retirocomunidades.net","162,500.00 €","150,000.00 €","8,300.00 €","127,000.00 €","62,035.00 €","B","14.01.2022","31.10.2022","Contrato firmado","100%","50%","75%","15.11.2022","06.07.2023","Carranza, Laura","","0.000000","0.000000"
"Alcalá 27","","Alcalá 27","Madrid","28001","Alcalá 27","Medianera","CECABANK","","629820253","ggonzalg@cecabank.es","161,901.00 €","150,000.00 €","7,770.00 €","62,901.00 €","30,241.00 €","A","15.02.2021","25.05.2021","Contrato firmado","100%","50%","50%","12.07.2021","12.09.2021","Carranza, Laura","","40.418300","-3.698600"
"Alcalá 42","","Alcalá 42/Circulo Bellas Artes","Madrid","013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","19.11.2008","01.07.2011","Negociaciones interrumpidas","25%","","","01.04.2009","30.11.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 44","","Alcalá 44","Madrid","28013","Alcalá 44","Andamio","ZURICH ESPAÑA SA","Alfonso Alfonso Castillo","93 306 73 51","salvador.perez1@zurich.com","289,261.17 €","250,000.00 €","22,941.17 €","458,279.98 €","109,859.98 €","A","26.09.2014","13.08.2021","Negociaciones interrumpidas","50%","50%","50%","01.05.2020","30.11.2020","Carranza, Laura","02.12.2019 Carranza, Laura (Dev Note): Still working on the permission. He will call me,. I will keep insisting nevertheless","0.000000","0.000000"
"Alcalá 47","","Alcalá 47","Madrid","28001","","Andamio","","","","","180,247.94 €","150,000.00 €","17,352.94 €","97,395.00 €","35,924.60 €","C","21.11.2016","01.03.2018","Negociaciones interrumpidas","50%","50%","100%","01.12.2016","31.12.2016","Carranza, Laura","","0.000000","0.000000"
"Alcalá 55","","Alcalá 55/Plaza de Cibeles","Madrid","28014","","Andamio","","","","","106,611.76 €","90,000.00 €","9,411.76 €","137,785.29 €","51,005.29 €","B","19.12.2011","03.02.2012","Contrato firmado","100%","","","15.12.2012","30.06.2013","Arrogante, Juanjo Martinez","","40.419772","-3.691716"
"Alcalá 63","","Alcalá 63/Puerta de Alcalá","Madrid","28002","","Andamio","","","","","142,176.47 €","110,000.00 €","21,176.47 €","157,000.00 €","66,640.00 €","B","27.10.2014","23.01.2015","Perdido ante la competencia","75%","50%","75%","16.02.2015","15.04.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 65","","Alcalá 65/Puerta de Alcalá","Madrid","01","Alcalá 65","Andamio","","","","","87,941.18 €","75,000.00 €","12,941.18 €","52,286.77 €","42,351.77 €","B","15.01.2010","15.01.2010","Contrato firmado","100%","","","01.03.2010","30.04.2010","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcala 70","","Alcalá 70","Madrid","28001","","Andamio","","","","","62,916.29 €","50,000.00 €","8,235.29 €","72,111.99 €","27,415.40 €","C","21.12.2015","29.09.2016","Negociaciones interrumpidas","50%","50%","100%","01.10.2016","31.01.2017","Carranza, Laura","","0.000000","0.000000"
"Alcalá 73","","Alcalá 73","Madrid","28001","","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-168,000.00 €","C","19.12.2005","01.08.2007","Contrato firmado","","","","01.09.2008","31.01.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 73 - 2014","","Alcalá 73/Puerta de Alcalá","Madrid","28009","","Andamio","","","","","153,003.52 €","125,000.00 €","18,823.52 €","259,245.86 €","93,700.86 €","A","28.02.2011","02.06.2014","Contrato firmado","100%","50%","50%","15.10.2014","31.03.2015","Arrogante, Juanjo Martinez","","40.420466","-3.687400"
"Alcalá 75","","Alcalá 75/Puerta de Alcalá","Madrid","28001","","Andamio","","","","","138,000.00 €","130,000.00 €","8,000.00 €","162,500.00 €","150,806.00 €","A","21.05.2010","15.02.2011","Contrato firmado","100%","","","01.03.2011","31.07.2011","Arrogante, Juanjo Martinez","","40.420542","-3.687144"
"Alcalá 75","","Alcalá 75","Madrid","28001","","Andamio","","","","","164,144.12 €","140,000.00 €","15,294.12 €","286,050.01 €","98,256.51 €","B","13.10.2015","23.03.2018","Negociaciones interrumpidas","50%","50%","50%","01.09.2016","28.02.2017","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 77","","Alcalá 77/Puerta de Alcalá","Madrid","28001","","Andamio","","","","","104,705.00 €","98,823.00 €","5,882.00 €","68,058.25 €","62,136.25 €","C","18.10.2007","29.04.2008","Contrato firmado","100%","","","01.09.2010","30.04.2011","Arrogante, Juanjo Martinez","","40.420537","-3.686978"
"Alcalá 81","","Alcalá 81","Madrid","0","Alcalá 81","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-2,650.00 €","C","19.12.2005","09.05.2018","Negociaciones interrumpidas","25%","25%","25%","01.01.2006","30.06.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 81","","Alcalá 81","Madrid","28001","","Andamio","","","","","89,860.35 €","80,000.00 €","5,882.35 €","74,356.00 €","10,979.00 €","C","17.03.2017","14.12.2017","Perdido ante la competencia","50%","50%","100%","01.10.2017","31.12.2017","Carranza, Laura","","0.000000","0.000000"
"Alcalá 85","","Alcalá 85","Madrid","28009","","Medianera","","","","","145,000.00 €","120,000.00 €","25,000.00 €","266,500.00 €","99,318.00 €","","09.01.2006","01.08.2007","Contrato firmado","","","","01.09.2007","31.01.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 94","","Alcalá 94/Felipe II","Madrid","1","","Andamio","","","","","96,551.76 €","80,000.00 €","9,411.76 €","122,195.29 €","45,297.29 €","B","14.05.2010","01.07.2011","Contrato firmado","100%","","","01.10.2011","31.03.2012","Arrogante, Juanjo Martinez","","40.423889","-3.677389"
"Alcalá 94 - 2014","","Alcalá 94/Plaza de Felipe II","Madrid","28009","","Andamio","","","","","123,824.00 €","96,000.00 €","18,824.00 €","185,386.80 €","75,096.80 €","B","15.06.2012","23.06.2014","Contrato firmado","100%","100%","100%","01.03.2015","30.06.2015","Arrogante, Juanjo Martinez","","40.423903","-3.677394"
"Alcalá 96","","Alcalá 96/El Corte Inglés Goya","Madrid","28002","","Andamio","","","","","281,714.12 €","225,000.00 €","35,294.12 €","847,725.01 €","304,975.01 €","A","12.03.2015","15.11.2017","Perdido ante la competencia","50%","50%","50%","01.04.2016","30.09.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alcalá 96","","Alcalá 96","Madrid","","Alcalá 96","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-1,300.00 €","","15.12.2005","06.04.2006","Perdido ante la competencia","","","","01.01.2006","30.06.2006","Arrogante, Juanjo Martinez","30.01.2006 Arrogante, Juanjo Martinez (): han recibido todas las propuestas y van a decidir en breve","0.000000","0.000000"
"Alcalá 96-2016","","Alcalá 96","Madrid","28009","","Andamio","","","","","362,089.41 €","300,000.00 €","33,529.41 €","1,662,479.99 €","689,439.99 €","A","21.04.2016","23.03.2018","Perdido ante la competencia","50%","50%","100%","01.02.2017","30.09.2017","Carranza, Laura","","0.000000","0.000000"
"Alcalá 96-2016","","Alcalá 96 - reducido","Madrid","28009","","Andamio","","","","","331,306.76 €","300,000.00 €","19,411.76 €","1,047,869.98 €","385,218.08 €","A","21.04.2016","23.03.2018","Perdido ante la competencia","50%","50%","100%","01.10.2016","31.05.2017","Carranza, Laura","","0.000000","0.000000"
"Alcalá 98","","Alcalá 98/Goya","Madrid","01","","Andamio","","","","","214,729.41 €","175,000.00 €","23,529.41 €","215,413.23 €","63,333.23 €","A","21.09.2012","05.11.2012","Perdido ante la competencia","50%","","","01.12.2012","31.05.2013","Arrogante, Juanjo Martinez","","40.424985","-3.675049"
"Alcalá 99","","Alcalá 99","Madrid","28009","Alcalá 99","Medianera","","","","","114,519.88 €","100,000.00 €","8,705.88 €","39,464.00 €","10,236.00 €","B","24.01.2019","24.01.2019","Emplazamiento introducido","50%","50%","50%","01.03.2019","30.06.2019","Carranza, Laura","","0.000000","0.000000"
"Alcala, 147 Goya 68","","Alcala, 147 Goya 68","Madrid","28009","Alcala, 147 (Goya)","Andamio","Javier García Valle","","644419368","","116,020.00 €","100,000.00 €","9,900.00 €","43,220.00 €","18,450.00 €","B","14.02.2023","10.03.2023","Emplazamiento introducido","50%","50%","75%","01.10.2023","31.12.2023","Aumente, Alfonso","","0.000000","0.000000"
"Alcala, 26","","Alcala, 26","Madrid","28014","Alcala, 26","Andamio","","","","","196,400.00 €","175,000.00 €","14,200.00 €","242,700.00 €","107,101.00 €","A","15.07.2022","01.12.2022","Emplazamiento introducido","50%","50%","75%","15.11.2022","31.05.2023","Aumente, Alfonso","01.12.2022 Aumente, Alfonso (Others): Lost to compitor","40.250462","3.415396"
"Alcala, 54","","Alcala, 54","Madrid","28014","Alcala, 54","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","09.06.2023","10.06.2023","Emplazamiento introducido","50%","50%","75%","15.12.2022","19.05.2023","Aumente, Alfonso","","0.000000","0.000000"
"Alcala, 97","","Alcala, 97","Madrid","28009","Alcala, 97","Andamio","","","","","161,475.00 €","150,000.00 €","7,800.00 €","124,950.00 €","67,537.00 €","A","03.11.2022","04.11.2022","Emplazamiento introducido","50%","50%","75%","01.04.2023","31.07.2023","Aumente, Alfonso","","0.000000","0.000000"
"Alcala, 98","","Alcala, 98","Madrid","28009","Alcala, 98","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","30.01.2023","31.01.2023","Emplazamiento introducido","50%","50%","75%","01.05.2023","31.07.2023","Aumente, Alfonso","","0.000000","0.000000"
"Alfonso XII 17","","Alfonso XII 17/Atocha","Madrid","05","","Andamio","","","","","113,688.24 €","85,000.00 €","20,588.24 €","127,700.01 €","45,395.01 €","C","17.11.2015","28.01.2016","Contrato firmado","100%","50%","50%","15.12.2015","29.02.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Alfonso XII 32","","Alfonso XII 32","Madrid","28001","Alfonso XII 32","Andamio","Proiescon","","656974036","jgonzalez@proiescon.es","148,925.00 €","125,000.00 €","14,540.00 €","107,350.00 €","50,572.00 €","B","26.01.2022","15.02.2022","Contrato firmado","100%","75%","75%","01.03.2022","30.06.2022","Carranza, Laura","","40.245259","3.412091"
"Almagro 1 2015","","Plaza Alonso Martínez/Almagro 1","Madrid","28012","","Andamio","","","","","207,240.00 €","175,000.00 €","20,000.00 €","242,230.00 €","53,330.00 €","A","12.09.2012","14.04.2016","Perdido ante la competencia","75%","50%","50%","01.02.2016","30.04.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Almagro 1/Alonso Martínez","","Plaza Alonso Martínez/Almagro 1","Madrid","28010","Almagro 1/Alonso Martínez","Andamio","","","","","249,411.00 €","211,764.00 €","37,647.00 €","761,644.65 €","273,144.65 €","C","03.01.2006","29.04.2008","Contrato firmado","100%","","","01.11.2008","30.06.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Almagro 2","","Almagro 2","Madrid","28004","","Andamio","","","","","157,500.00 €","140,000.00 €","17,500.00 €","489,125.00 €","454,217.00 €","C","15.02.2006","01.08.2007","Contrato firmado","","","","01.09.2007","31.07.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Almagro 2 - 2012","","Plaza Alonso Martínez 2/Almagro","Madrid","28006","","Andamio","","","","","125,000.00 €","110,000.00 €","15,000.00 €","243,750.00 €","219,960.00 €","A","08.05.2012","09.05.2018","Negociaciones interrumpidas","25%","25%","25%","01.11.2012","31.01.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Almagro 2 2020","","Almagro 2 2020","Madrid","28010","Almagro 2 2020","Andamio","","","","","241,160.50 €","200,000.00 €","26,003.50 €","523,799.88 €","111,281.88 €","A","18.06.2019","03.08.2021","Perdido ante la competencia","50%","50%","50%","01.11.2020","30.04.2021","Carranza, Laura","24.06.2019 Carranza, Laura (Dev Note): meeting with property manager. there is interest from landlords side. It becomes necessary to previously work in a project that would justify, after only 5 years, to agin have works on the building","0.000000","0.000000"
"Almagro 2-2014","","Plaza Alonso Martínez/Almagro 2","Madrid","28010","","Andamio","","","","","193,747.00 €","160,000.00 €","22,352.00 €","545,619.00 €","194,687.95 €","A","21.10.2013","18.03.2014","Contrato firmado","100%","50%","50%","01.11.2014","15.07.2015","Arrogante, Juanjo Martinez","","40.428000","-3.695075"
"Almagro 46","","Plaza Rubén Dario/Almagro 46","Madrid","20123","","Andamio","","","","","100,652.17 €","80,000.00 €","12,941.17 €","120,645.52 €","90,925.52 €","B","03.04.2013","10.07.2013","Contrato firmado","100%","","","01.12.2013","28.02.2014","Arrogante, Juanjo Martinez","","40.432590","-3.691257"
"Almendro 27","","Almendro 27/La Latina","Madrid","01","","Andamio","","","","","54,145.88 €","48,000.00 €","4,705.88 €","31,018.82 €","24,386.82 €","C","09.05.2013","10.06.2013","Contrato firmado","100%","","","01.06.2013","31.08.2013","Arrogante, Juanjo Martinez","","40.412041","-3.710720"
"Almería 4","","Pza. Ventas","Madrid","28028","","Medianera","","","","","63,000.00 €","52,000.00 €","11,000.00 €","40,950.00 €","34,620.00 €","","02.03.2006","25.01.2007","Contrato firmado","","","","01.12.2006","04.07.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Almirante Cervera 1","","Passeig Joan de Borbo - Barceloneta","Barcelona","08008","","Andamio","ALG","Jesus Ortiz","93-4330551","jortiz@algfinques.com","125,977.88 €","100,000.00 €","14,705.88 €","57,772.00 €","22,210.00 €","C","24.10.2013","19.04.2016","Negociaciones interrumpidas","50%","50%","100%","15.01.2016","15.05.2016","Ramon, Silvia","","0.000000","0.000000"
