Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
049501,Madrid,,Gran Vía 61,,175000,20000,195000,151250,16320,40,20,800,"Carranza, Laura",11/01/2016,03/31/2017,Inactivo,"- Espectacular emplazamiento ubicado en la famosa Gran Vía de Madrid, entre Plaza Callao y Plaza España. Perfectamente visible por los 3 carriles de tráfico,  en ambos sentidos, de esta calle. Goza de una visibilidad prolongada gracias a las continuas retenciones de tráfico de la zona. Alto volúmenes de tráfico rodado y peatonal dada su cercanía a la parada de metro y a las numerosas paradas de autobuses de los alrededores. Más de 1.700.000 contactos / mes. Los centros comerciales y las tiendas más importantes de la ciudad se ubican en los alrededores del emplazamiento. Gran Vía también es famosa por sus cines y teatros, donde se celebran numerosos eventos musicales internacionales de forma regular.",68000,40.421333,-3.707213
049941,Madrid,Gran Via 68 - 2016,Gran Via 68,,175000,21764.71,196764.71,153014.71,18915.9,36.85,25.4,935.99,"Carranza, Laura",05/18/2016,05/15/2017,Inactivo,"- Este atractivo emplazamiento está ubicado en la famosa Gran Vía de Madrid, entre San Bernardo y Plaza España y es perfectamente visible por los 3 carriles de tráfico, en ambos sentidos, de esta calle. Goza de una visibilidad prolongada gracias a las continuas retenciones de tráfico. Alto volúmenes de tráfico rodado y peatonal dada su cercanía a la parada de metro y a las numerosas paradas de autobuses de los alrededores. Más de 1.700.000 contactos / mes. Audiencia joven y moderna dado que en las cercanías del emplazamiento podemos encontrar numerosos centros comerciales y tiendas de moda y accesorios. Gran Vía también es famosa por sus cines y teatros, donde se celebran numerosos eventos musicales internacionales de forma regular.",68000,40.423818,-3.705793
047591,Madrid,,Gran Vía 68,,175000,21764.71,196764.71,76470.58,13770,36,25,900,"Arrogante, Juanjo Martinez",08/01/2016,04/30/2017,Inactivo,"- Impresionante lona en la conocida Gran Vía madrileña, entre San Bernardo y Plaza de España. Perfecta visibilidad al tráfico en ambas direcciones. 3 carriles en cada sentido e importantes y continuas retenciones.  Alto transito peatonal, a escasos metros de la salida de metro de Callao, parada de varias líneas de autobuses y gran cantidad de tráfico rodado: Más de 1.700.000 de vehículos mensuales.  Todo tipo de tiendas de moda y complementos más conocidas en las cercanías. En la misma calle se encuentran cines y los más conocidos teatros de la capital donde se representan los musicales de mayor éxito.",68000,40.422619,-3.709214
051271,Madrid,,La Opera de Madrid,,70000,11764.7,81764.7,67205.88,5000,24.35,13.5,328.725,"Carranza, Laura",09/01/2017,11/30/2017,Inactivo,"- En pleno corazón de Madrid, conocida también como Plaza de la Ópera, muy próxima a la Puerta del Sol, frente al Teatro Real y cerca de lugares tan emblemáticos como, el Palacio Real, Catedral de La Almudena y La Plaza de Oriente. Entorno privilegiado. Es una Plaza con sabor y la elegancia del  Majestuoso Teatro REAL o Teatro de la Opera, el cual es uno de los teatros con la programación más atrayente de Europa. Lugar de reunión de locales y visitantes, es el comienzo de las rutas por el Madrid de los Austrias. Lugar de continuo trasiego, esta zona de Madrid no descansa ningún día de la semana. Sus terrazas se han convertido en punto de encuentro y en su entorno, se encuentran algunos de los mejores restaurantes de Madrid: la Taberna del Alabardero y el Café de Oriente, con una terraza exterior y con vistas al Palacio Real. Resulta imprescindible visitar esta Plaza de Isabel II para poder admirar y disfrutar con los monumentos que allí se encuentran. En esta Plaza de Isabel II, desemboca una de las principales calles comerciales y peatonales de Madrid, la calle Arenal. Está llena de tiendas y comercios y atrae a multitud de personas durante todos los días del año. La estación de metro Opera es una de las que mayor trafíco genera y está convertida en un pequeño museo fotográfico.
- ",0,40.417787,-3.709296
051571,Madrid,,"Malasaña, motor de futuros",,60000,11176.47,71176.47,56176.47,2650,26.5,14,371,"Carranza, Laura",05/15/2017,11/15/2017,Perdido (otra razon),"- En pleno corazón de Malasaña, una de las plazas más concurridas del barrio que rezuma vida por los cuatro costados. Lleno de barbas, bicicletas, mercadillos, gente paseando perros, el vecino de toda la vida que compra el pan en zapatillas;  perfecta armonía entre lo moderno y lo clásico y es que algunos dicen que aquí comienza todo lo nuevo, que es un barrio visionario. 
- Abanderado de la Movida en los 70-80, ahora resucita fuerte mostrando su poderío y protagonismo dentro del panorama social de la ciudad.
- Llena de terrazas en las que sentarse a tomar el sol y disfrutar del ambiente, ver y dejarse ver. Jóvenes diseñadores, músicos, artistas…todos aquellos que han venido para marcar tendencia, han elegido Malasaña como sus cuarteles centrales.
- La fachada arropa toda la plaza. Con sus más de 350 metros cuadrados estratégicamente colocados, se convierte en un muro desde el cual entablar diálogo con aquellos que son influencia para el resto de la sociedad.
- La variedad y cantidad de restaurantes y locales nocturnos es enorme. Altísimo tránsito peatonal tanto de día como de noche.
- Malasaña goza gran oferta cultural;  Museo del Romanticismo, Espacio Fundación Telefónica y Centro Cultural Conde Duque.
- 
- ",0,0.000000,0.000000
051451,Madrid,"Principe de Vergara, 47",Marqués de Salamanca,,90000,9411.76,99411.76,76911.76,4473,17.3,19.5,337.35,"Carranza, Laura",06/01/2017,11/30/2017,Perdido (otra razon),"- Excepcional emplazamiento ubicado en pleno Barrio de Salamanca, en la confluencia de la calle Príncipe de Vergara con la Plaza Marqués de Salamanca. Es uno de los barrios de mayor nivel de vida de Europa. El emplazamiento goza de una fantástica visibilidad para el tráfico rodado. Más de 60.000 vehículos diarios pasan por la zona. Numerosas paradas de metro y autobús en las cercanias. El Barrio de Salamanca se ha convertido en la mayor Zona comercial de lujo de Madrid en torno a las calles de Serrano, Claudio Coello, Ortega y Gasset (Versace, Abercrombie And Fitch, Cristian Dior, Chanel). Zona de alto tránsito peatonal. Se encuentra muy próximo al colegio elitista Nuestra Señora del Pilar, al hospital, Nuestra Señora del Rosario y con numerosas oficinas, hoteles, bancos en las proximidades.",60000,40.429604,-3.680075
050591,Madrid,,Plaza Cascorro 18,,70000,5294.12,75294.12,57794.12,1705,10.45,16,167.2,"Carranza, Laura",06/01/2017,09/30/2017,Inactivo,"- Plaza ubicada en uno de las zonas más populares de Madrid, El Rastro, en el barrio de La Latina. La Plaza Cascorro es una zona muy concurrida siendo ésta el corazón de El Rastro, uno de los mercadillos más populares de Europa. Lo más característico de este barrio es El Rastro, es el mercadillo más grande y tradicional de Madrid. Cada domingo, miles de personas visitan este mercadillo. Zona de confluencia de numerosas culturas y tradiciones, que crean una atmósfera muy bohemia que convierte este barrio en uno de los más cosmopolitas de la ciudad. Punto de encuentro para turistas tanto nacionales como internacionales. Zona de copas y tapas gracias a  los numerosos bares y restaurantes que se concentran en la zona.",0,40.412663,-3.713381
050581,Madrid,,Plaza de Lavapies 8,,55000,10588.24,65588.24,51838.24,2570,30,12,360,"Carranza, Laura",10/01/2016,03/31/2017,Inactivo,"- Lavapiés es uno de los barrios más castizos y multiculturales de Madrid. Sus calles empinadas, estrechas y de trama irregular conservan su origen Medieval, dándole un encanto especial. Crisol de culturas y tradiciones, ofrece un ambiente bohemio y la población más cosmopolita de la capital Punto de encuentro de turistas nacionales e internacionales para tapear e ir de copas por sus innumerables ofertas de ocio. Lo más característico de este barrio, es EL RASTRO. Es el mercadillo más castizo y más grande de Madrid. Cada domingo, decenas de miles de personas acuden a dicho mercadillo. ",0,40.408684,-3.701260
052611,Madrid,Plaza Lavapies 4,Plaza Lavapies 4,,50000,4705.88,54705.88,42205.88,1346,11,12,132,"Carranza, Laura",12/01/2017,06/12/2018,Inactivo,"- Lavapiés es uno de los barrios más castizos y multiculturales de Madrid. Sus calles empinadas, estrechas y de trama irregular conservan su origen Medieval, dándole un encanto especial. Crisol de culturas y tradiciones, ofrece un ambiente bohemio y la población más cosmopolita de la capital Punto de encuentro de turistas nacionales e internacionales para tapear e ir de copas por sus innumerables ofertas de ocio. Lo más característico de este barrio, es EL RASTRO. Es el mercadillo más castizo y más grande de Madrid. Cada domingo, decenas de miles de personas acuden a dicho mercadillo.",0,40.408850,-3.700891
051201,Madrid,,Plaza Tirso de Molina,,90000,22941.18,112941.18,90441.18,6165,51.7,14,723.8,"Carranza, Laura",06/01/2017,02/02/2018,Inactivo,"- Ubicada entre Distrito Centro y Barrio de Lavapies, el cual es uno de los barrios más castizos y multiculturales de Madrid. Actualmente se encuentra remodelada y prácticamente peatonalizada. Se ha convertido en un mercado permanente de flores muy original, compuesto por ocho cubos de metal y madera de diseño moderno. Ambiente cultural, Teatro Nuevo apolo, Cines, los museos más importantes de Madrid (EL Prado, Sofía y Museo Thyssen) se encuentran muy cerca desde esta plaza, se puede ir andando a visitarlos. Crisol de culturas y tradiciones, ofrece un ambiente bohemio y la población más cosmopolita de la capital. Sus terrazas se han convertido en punto de encuentro de turistas locales y visitantes donde tapear e ir de copas por sus innumerables ofertas de ocio. Es una Plaza que está abarrotada de terrazas y llenas de gente durante la mayor parte del día. Muy próximo al Mercadillo de EL RASTRO. Es el mercadillo más castizo y más grande de Madrid. Cada domingo, decenas de miles de personas acuden a dicho mercadillo. Pegada también a la Puerta del Sol, Gran Vía, Alcalá.",15238,40.412616,-3.704937
050771,Madrid,,Preciados 9,,120000,14117.65,134117.65,104117.65,9140,32,14,448,"Carranza, Laura",07/01/2017,03/31/2018,Inactivo,"- En la conocida y emblemática calle Preciados, entre plaza de Callao y Puerta del Sol. Perfecta visibilidad, a escasos metros de la salida del metro SOL. Es la calle con mayor transito peatonal de España, lugar de reunión de madrileños y visita obligada para todos los turistas que visitan la capital. Calle comercial por excelencia de la capital. Junto a la salida del centro comercial más importante y rodeado de las tiendas de moda y complementos más conocidas.  A escasos metros de la sede de la Presidencia de la Comunidad de Madrid. ",0,40.418247,-3.704921
048231,Madrid,,República Dominicana 7 - 2015,,80000,18823.53,98823.53,78823.53,7000,37.8,19,718.2,"Arrogante, Juanjo Martinez",03/01/2017,06/30/2017,Inactivo,"- En la conocida plaza de la República Dominica y en la esquina de la calle Príncipe de Vergara.  Completamente frontal al tráfico procedente de la zona norte de la capital y el paseo de la Castellana, 6 carriles.  Una de las plazas con mayor volumen de tráfico peatonal y rodado, casi 3.500.000 de vehículos mensuales.  Importante zona de negocios de la capital con gran número de bancos y empresas de reconocido prestigio en las inmediaciones.  Ubicado en una de las entradas con mayor tráfico a la capital y en concreto al acceso del Barrio de Salamanca y la zona financiera de Castellana.",115000,40.457612,-3.676472
029881,Madrid,,Serrano 29,,84000,0,84000,42000,0,16,6,96,"Raabe, Tim",01/01/2006,12/31/2025,Público nivel interno,- asdf,0,0.000000,0.000000
050931,Madrid,,The Golden Corner,,190000,18235.29,208235.29,161323.53,14137,32.02,21.9,701.238,"Carranza, Laura",02/01/2017,07/31/2017,Inactivo,"- Emplazamiento Premium ubicado en la Milla de Oro de Madrid, en el prestigioso Barrio de Salamanca.
- Serrano es la calle más cara y exclusiva  de Madrid. Bien conocida también por ser una de las zonas de negocios más importantes de la ciudad.
- Las boutiques de  diseñadores y grandes firmas mundiales de la moda,(Prada, Mickael Kors, Cartier, Tous, Gucci, Dior….) se concentran en esta calle. El lujo y la distinción, son sus señas de identidad. 
- Itinerario único en el mundo, en el que paseando y a escasa distancia, se suceden tres de los museos más importantes, Museo del Prado, Museo Thyssen y Museo Nacional Centro de Arte Reina Sofia.
- Emplazamiento ubicado esquina calle Goya, una de las calles más comerciales de Madrid. Tráfico peatonal y rodado, muy elevado.  La zona goza de alrededor de 66.000 contactos diarios
- ",66200,40.425563,-3.687882
050551,Madrid,,The Golden Mile,,300000,20000,320000,245000,13347,27.92,24.42,681.8064,"Carranza, Laura",11/15/2016,11/30/2017,Inactivo,"- Emplazamiento Premium ubicado en la Milla de Oro de Madrid. Esta ubicación única, con 682 m2 de superficie, situada en el Barrio de Salamanca, te da la oportunidad única de alcanzar a una audiencia difícil de conquistar, sobretodo personas de alto poder adquisitivo. Visible desde la prestigiosa calle Serrano, dónde se encuentran numerosas boutiques exclusivas tales como: Prada, Longchamp, Michael Kors, Omega, Dior, Cartier, etc. Ubicado en uno de los núcleos de tráfico más transitados de la ciudad de Madrid, concentrando altísimos volúmenes procedentes de varias calles colindantes, en la rotonda de Colón. Esta ubicación es esencial para aquellas marcas que buscan lo mejor de dos mundos diferentes: acercarse a un público objetivo muy difícil de alcanzar y también a ese público con altas aspiraciones concentrado en los altos flujos de tráfico de la zona.",170000,40.425750,-3.690577
052341,Madrid,Calle Velázquez 7,Velázquez 7,,90000,10000,100000,77500,6569,25,14.6,365,"Sánchez Lema, Roberto",11/01/2017,02/28/2018,Inactivo,"- En la conocida y emblemática calle Velázquez, junto a la confluencia con la calle Alcalá. Perfecta y garantizada visibilidad para el tráfico rodado debido a los atascos continuos y los semáforos, frente a la parada de diversas líneas de bus. Aproximadamente 35.000 vehículos diarios según fuente del Ayuntamiento de Madrid. En el barrio Salamanca donde se concentran las tiendas y firmas más importantes de moda, frente al hotel de 5* Wellington y la famosa discoteca Gabanna.  A escasos metros de la Puerta de Alcalá y al famoso Parque de El Retiro.
- 
- ",35000,40.421730,-3.684600
027141,Sevilla,,Avda. Menendez Pelayo - Puerta de la Carne,,82000,0,82000,82000,0,10,10,100,"Raabe, Tim",10/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
019831,Sevilla,,Dummy site 4,,1,0,1,1,0,10,10,100,"Raabe, Tim",03/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
023171,Sevilla,,Kansas,,70700,4300,75000,57325,0,10,10,100,"Raabe, Tim",02/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
