Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
057181,Madrid,,Galdo 1. Carmen,,190000,3800,193800,146300,3450,13.7,13,178.1,"Carranza, Laura",09/01/2020,01/12/2021,Inactivo,"- Emplazamiento situado en una de las calles comerciales más transitadas de toda España. Su magnífica ubicación, es destacable por estar en la vía de unión de obligado paso para los que van desde la Puerta del Sol hacia la Gran Vía, discurriendo entre las calles Carmen y Preciados. Tiendas cercanas como Apple Store, H&M, El Corte Inglés o FNAC hacen que audiencias de diferentes edades se concentren en esta área peatonal de máxima audiencia. La visibilidad es máxima durante las 24h del día debido a la oferta cultural cercana: cines, teatros…. Así como el gran número de bares y restaurantes, que hacen de ella un espacio bullicioso hasta largas horas de la madrugada.
- ",0,0.000000,0.000000
057341,Madrid,Santa Engracia 179-181,Glorieta Cuatro Caminos - Santa Engracia,,150000,18960,168960,131460,4500,41.66,12.2,508.252,"Carranza, Laura",11/01/2020,08/05/2021,Inactivo,"- Emplazamiento situado en una de las glorietas con mayor volumen de tráfico, tanto rodado como peatonal de la capital, debido a la convergencia de varias calles principales y a la presencia una de las principales estaciones de metro, Cuatro Caminos, así como múltiples paradas de autobuses. Frontal al tráfico proveniente de Bravo Murillo, largo recorrido de visibilidad garantizado. Zona residencial de alto nivel, calle Santa Engracia, Raimundo Fernández de Villaverde. Su cercanía a la Universidad y a las residencias de estudiantes, garantiza la afluencia de un público joven. La calle Bravo Murillo es una de las arterias más comerciales de la ciudad, con tiendas como Lefties, o Etam. El ocio también encuentra su sitio, al igual que centros deportivos, colegios u Hospitales. Todo ello hace que este emplazamiento sea óptimo para posicionar tu marca, ya que será visible durante todo el día. No lejos queda el centro comercial de El Corte Inglés, lo que atraerá a un número de público de todas las edades y bolsillos.
- ",85000,40.446092,-3.703764
057781,Madrid,General Díaz Porlier 1,Goya - El Corte Inglés,,200000,10792,210792,160792,5232,23.95,16.8,402.36,"Carranza, Laura",01/11/2021,06/30/2021,Inactivo,"- Emplazamiento situado en pleno barrio de Salamanca. Su visibilidad es enorme desde la Calle Alcalá, ya que esta calle es salida a la M-30, lo que la convierte en una zona de mucho tráfico. Barrio muy concurrido al encontrarse muy cerca del centro comercial El Corte Inglés,  y de tiendas para jóvenes y adultos de todos los gustos y bolsillos, como Zara, Cortefiel, anticuarios, librerías como Fnac o La Casa del Libro. Cercano a este punto encontramos el Wizink-Center, lo que hará que tu lona sea muy visitada los días de conciertos por numeroso público que hasta allí se desplaza. Numerosos bares y restaurantes en calles colindantes, hacen que tu lona sea visible las 24 h del día. Enfrentado a él, se encuentra el famoso edificio de ”Las Bolas”. Unos singulares torreones circulares que se encuentran en los ángulos de la calle de Alcalá, de estilo neomudéjar. 
- ",41000,40.424206,-3.677376
056581,Madrid,Goya 19,Goya 19,,165000,23176.47,188176.47,146926.47,17544,42.15,18,758.7,"Carranza, Laura",10/01/2020,04/15/2021,Inactivo,"- Este llamativo emplazamiento goza de una ubicación privilegiada en el distrito de Salamanca, uno de los barrios más característicos de Madrid. Forma parte de la conocida „Milla de Oro“, ya que se encuentra ubicada en las inmediaciones de las calles Serrano y Velázquez, donde los bolsillos más exigentes, pasean por tiendas de lujo como Valentino, Chanel y Jimmy Choo, a la vez que disfrutan de la oferta gastronómica y cultural que ofrece la zona. Lugar bullicioso durante todo el día, ya que los restaurantes de chefs de renombre, se nutren de los ejecutivos que tienen sus oficinas por la zona, y es también encuentro de jóvenes, por las tiendas pensadas para ellos como Douglas, Zara, Mango, Pull & Bear o Uniqlo, así como los bares nocturnos. El emplazamiento es muy visible también para el tráfico rodado ya que esta calle, en su continuación de la Calle Génova, es paso desde la A-6 hasta la M-30.",86200,0.000000,0.000000
055461,Madrid,Madrid,Gran Vía 14,,180000,10941.17,190941.17,145941.17,9853,22.85,19.2,438.72,"Carranza, Laura",05/01/2019,07/06/2021,Inactivo,"- Este espectacular emplazamiento se encuentra en la avenida más famosa y vibrante de Madrid. Gran Via debe su encanto a sus bellos edificios, elegantes bares, tiendas de lujo como Loewe y famosas cadenas de moda como H&M, Mango y Zara. En esta concurrida calle se reúnen jóvenes, empresarios de alto nivel y personas entrando y saliendo de la ciudad. Con el segundo Primark más grande del mundo, este es el lugar donde encontraremos a un público joven y moderno. Este emplazamiento está rodeado de una gran variedad de negocios y hoteles y es perfectamente visible desde el conocido edificio Grassy, una relojería de lujo, que atrae a un grupo objetivo sofisticado y acaudalado. La calle que nunca duerme - gracias a la vibrante vida nocturna en esta zona, hay un gran volumen de tráfico peatonal día y noche. Tu lona será visible las 24 horas del día, durante toda la semana, lo que hace que sea imposible que se la pasen de largo ni los que van de compras, ni los noctámbulos o los conductores en su paseo desde Castellana al centro de la ciudad o saliendo de la ciudad con destino a la M-30 o a la N-VI",115000,40.419762,-3.699148
058771,Madrid,Gran Vía 20,Gran Vía 20,,220000,12600,232600,177600,8160,19.65,18.75,368.4375,"Carranza, Laura",09/15/2021,07/31/2023,Inactivo,"- Ubicado en pleno corazón de Madrid, este emplazamiento está en una de las calles más representativas y concurridas de la ciudad. Rodeado de edificios singulares, bares, tiendas de moda y tiendas de lujo como Loewe, así tiendas españolas conocidas internacionalmente, hacen de este lugar un punto muy concurrido durante todo el día. Con una vibrante vida nocturna, con cines, musicales o teatros, esta gran lona será visible las 24 horas del día y va a ser imposible pasarla de largo.  Aunque esta calle está recientemente reformada y ha dado prioridad al peatón frente al vehículo, aún sigue habiendo mucho tráfico,  ya que es paso desde el Paseo del Prado al centro o para salir de la ciudad con destino a la M-30 o N-VI.",127231,0.000000,0.000000
057111,Madrid,JUAN HURTADO MENDOZA 4,JUAN HURTADO MENDOZA 4. STYLE PROJECT PURETI,,30338,0,30338,22753.5,0,138,14,1932,"Carranza, Laura",07/20/2020,02/28/2021,Inactivo,- ,0,0.000000,0.000000
057941,Madrid,Condado de Treviño 2,M-30,,220000,23550,243550,188550,0,16.34,58,947.72,"Carranza, Laura",01/26/2021,07/31/2021,Inactivo,"- Espectacular emplazamiento blowUP de más de 1.000 m2. Su privilegiada situación en la M30, a la altura del nudo de manoteras, domina el entorno por completo; haciendo que su visibilidad sea de largo recorrido para todos aquellos conductores que atraviesan la capital. Situado cerca de la circunvalación en el paso hacia la A1 dirección Burgos y M11 dirección aeropuerto, el tráfico es constante durante las 24h del día. Su cercanía al aeropuerto, estación de Chamartín o los famosos barrios residenciales de Sanchinarro o Valdebebas, hacen que este emplazamiento se sitúe en un punto estratégico que no pasa desapercibido.
- ",300000,40.476974,-3673129.000000
055561,Madrid,Calle Costanilla de los Ángeles 2- Opera,Ópera - Arenal,,145000,17647.05,162647.05,126397.05,12240,37.11,14.9,552.939,"Carranza, Laura",10/01/2021,05/31/2022,Inactivo,"- Este emplazamiento está situado en una de las zonas más concurridas del centro de Madrid, el corazón de la capital de España. Con una gran variedad de tiendas, restaurantes y bares, y la oferta cultural de la ciudad, la calle Arenal es una de las vías más transitadas de Madrid, lo que la convierte en el lugar ideal para llegar a todas las edades. Con sus espectaculares 600 m² la lona será visualizada las 24 horas del día, ya que está situada en el punto triangular entre la Plaza de Callao, La Ópera y San Ginés, lo que garantiza una gran cantidad de tráfico peatonal. El Teatro de la Ópera es uno de los centros culturales más importantes de España, y está situado a un paso de este entorno, invitando a un público atractivo y de alto poder adquisitivo. Debido a la gran variedad de bares, chocolaterías y restaurantes típicos como el Café de Oriente, este lugar es un espacio vibrante y animado donde se puede experimentar la combinación de un estilo de vida moderno y tradicional. Rodeado de hoteles clásicos y lujosos y de monumentos históricos, es un destino obligado para locales y turistas.",50000,40.417881,-3.708591
057881,Madrid,Calle León 32,Plaza Antón Martín,,185000,14325,199325,153075,4100,25,17,425,"Carranza, Laura",11/01/2021,12/31/2021,Inactivo,"- Emplazamiento situado en la plaza de Antón Martín, en uno de los barrios más culturales de la capital, Las Letras, en el eje La Latina-Lavapiés-Antón Martín. Lugar de paso entre Atocha y la Puerta del Sol. Tu lona será muy transitada por público de todas las edades ya que es un barrio que ha ido modernizándose con multitud de bares y restaurantes, en los que tanto jóvenes quienes hacen de la cercanas calles Santa Isabel, Olmo o Atocha - su peregrinaje obligado de tapeo y buen comer - como por los residentes y turistas. Su variada oferta cultural incluye desde los cines más emblemáticos de Madrid, como la filmoteca o los mejores teatros de la ciudad como los del Pavón, Español o el Nuevo Apolo. Sin olvidarnos de estar a escasos 5 minutos del triángulo del arte en Madrid: Museo Reina Sofía, el Thyssen o el Museo del Prado, convirtiendo a la zona en muy transitada durante los fines de semana. Tu lona será visible las 24h del día.",35000,40.412707,-3.699491
058631,Madrid,Bravo Murillo 352,Plaza Castilla - Bravo Murillo,,75000,5000,80000,61250,2000,12.5,12,150,"Carranza, Laura",11/01/2021,04/30/2022,Inactivo,"- Emplazamiento situado en una de las zonas más transitadas de la capital. Situado en las inmediaciones de Plaza Castilla, centro neurálgico del norte de la capital: negocios, oficinas o los juzgados lugar frecuentado por un gran número de personas cada día. Su estratégica posición situado en la salida de metro de Valdeacederas, hace que el tránsito de personas sea muy elevado. Gimnasios y restaurantes cercanos o comercios como H&M, Bimba y Lola o Benetton, hacen que el público que lo transita sea muy amplio, sin olvidarnos de los residentes.",85000,40.464787,-3.693915
058621,Madrid,Calle Coloreros 1,Plaza Mayor - Coloreros,,85000,5529.41,90529.41,69279.41,3060,14,13.48,188.72,"Carranza, Laura",10/01/2021,03/15/2022,Inactivo,"- Emplazamiento situado en uno de los barrios más antiguos de Madrid, Los Austrias, rodeado de edificios como La Plaza de la Villa, el Palacio Real o la Catedral de la Almudena. Esta oferta cultural hace que esta zona sea un lugar de atracción para todos los turistas que llegan a Madrid. Lugar de paso entre la Puerta del Sol, Plaza Mayor y el Mercado de San Miguel; considerado “el triángulo turístico de Madrid” pero también para los locales con tiendas tradicionales. Esta localización estratégica, hace que el emplazamiento sea uno de los puntos más céntricos de la capital. Turistas, locales y jóvenes junto con el tráfico rodado, se juntan convirtiéndose en uno de los lugares más bulliciosos las 24 horas del día.",35000,40.416347,-3.707090
056481,Madrid,Felipe  Neri 1- Calle Mayor,Plaza Mayor - Felipe Neri ,,100000,10235.29,110235.29,85235.29,7038,25.15,13,326.95,"Carranza, Laura",11/01/2020,04/30/2021,Inactivo,"- Emplazamiento situado en uno de los barrios más antiguos de Madrid, Los Austrias, rodeado de edificios como La Plaza de la Villa, el Palacio Real o la Catedral de la Almudena. Esta oferta cultural hace que esta zona sea un lugar de atracción para todos los turistas que llegan a Madrid. Lugar de paso entre la Puerta del Sol, Plaza Mayor y el Mercado de San Miguel; considerado “el triángulo turístico de Madrid” pero también para los locales con tiendas tradicionales. Esta localización estratégica, hace que el emplazamiento sea uno de los puntos más céntricos de la capital. Turistas, locales y jóvenes junto con el tráfico rodado, se juntan convirtiéndose en uno de los lugares más bulliciosos las 24 horas del día. ",19000,0.000000,0.000000
057891,Madrid,Jose Abascal 16,Ponzano - José Abascal,,0,0,0,0,0,19,16,304,"Carranza, Laura",03/15/2021,05/16/2021,Inactivo,"- Emplazamiento situado en una de las calles con más tráfico de la capital. Tu lona será altamente visualizada a lo largo de todo el día ya que este enorme volumen de tráfico hace que esté siempre congestionada. Pero no sólo será visualizada por los coches sino por los peatones, debido a la cercana boca de metro de Alonso Cano, Facultad de Ciencias de la documentación y su proximidad a la calle Ponzano, famosa por la cantidad de bares con sus terrazas, discotecas, y hoteles, lo que provoca un ir y venir de gente joven y mayor en busca de un rato de ocio con sus amistades, así como de ejecutivos cerrando negocios en un buen restaurante de la zona. En sus alrededores se encuentran las sedes de grandes bancos y oficinas centrales de grandes empresas. Calle de enorme tránsito, oferta gastronómica, ocio y cultural debido a su cercanía acerca los Teatros del Canal.
- ",67000,0.000000,0.000000
057821,Madrid,San Bernardo 76,San Bernardo 76 -  Malasaña,,145000,6900,151900,115650,2000,21.55,13.4,288.77,"Carranza, Laura",02/15/2021,06/18/2022,Inactivo,"- En pleno Barrio de Malasaña, en la esquina con la calle Divino Pastor, a 150 m de la Plaza del dos de Mayo. Tiene un formato óptimo de 345 (23+15) aprox formando una esquina que capta tanto el tráfico de bajada hacia la Gran Vía, como el de subida en dirección a la Glorieta de Bilbao y Quevedo. Emplazamiento rodeado de arte, cultura y vanguardia: Museo Abc, Centro Cultural Conde Duque, las más famosas escuelas de arte y diseño, teatro maravillas o restaurantes aledaños, conforman un triángulo de tránsito continuo. La archifamosa calle de La Palma, hot spot de la vida nocturna y trendy madrileña, hacen de este emplazamiento un lugar de ocio y a su vez residencial para un público alternativo que busca vivir en este pintoresco lugar de la ciudad",85000,40.428136,-3.705967
029881,Madrid,,Serrano 29,,26026,0,26026,26026,0,16,6,96,"Raabe, Tim",01/01/2006,12/31/2025,Público nivel interno,- asdf,0,0.000000,0.000000
057351,Madrid,Calle Sevilla 4,Sevilla - Plaza Canalejas,,170000,14470.58,184470.58,141970.58,8976,26.45,18.4,486.68,"Carranza, Laura",03/15/2021,10/15/2021,Inactivo,"- Emplazamiento situado en una de las calles principales de la capital, junto a la Puerta del Sol, lo que hará que tu lona sea muy visitada las 24 horas del día, tanto por madrileños como por turistas. Zona muy bulliciosa, tanto por los Teatros que hay en esta área o su oferta gastronómica, destacable el emblemático restaurante L’Hardy que atrae tanto a políticos como a cantantes y actores famosos.  Su situación privilegiada, al encontrarse enfrente del único hotel de lujo que hay en España de la cadena “Four Seasons”, atraerá a un público de alto nivel adquisitivo. En él se encuentran las tiendas más lujosas, lo que hará que no sólo los visitantes que vienen a la ciudad sino que los madrileños también acudirán a este hotel atraídos por estas tiendas, como Hermès, Dior, Gucci, Cartier, Saint Laurent, Omega, Rolex, Louboutin, Zenith, Bulgari y Balenciaga. Destacable también su azotea de la mano del famoso chef español Dani García, hará de esta entorno, un lugar muy concurrido. Su cercanía a la puerta del sol, hace que el trasiego peatonal sea destacable; mucho turismo y tiendas de todos los tipos y gustos, que atraen a un público de todas las edades. ",50000,40.417062,-3.699977
058452,Madrid,Calle Toledo 10 ,Toledo - Plaza Mayor,,90000,5235.29,95235.29,72735.29,1785,10,14,140,"Carranza, Laura",09/01/2021,02/28/2022,Inactivo,"- Espectacular emplazamiento situado en una de las entradas de la Plaza Mayor. Gran afluencia de turistas y peatones debido a los comercios que se encuentran alrededor como Five Guys o restaurantes típicos de la ciudad. El cercano barrio de La Latina, Plaza Tirso de Molina o La Plaza Mayor hacen que la afluencia de personas sea constante durante las 24h del día, destacando los fines de semana donde tanto los jóvenes como adultos disfrutan de las terrazas al aire libre en sus inmediaciones. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad.
- ",22000,40.414522,-3.707708
058891,Madrid,Antonia Mercé 5,Wizink Center,,190000,15426,205426,157926,10400,23,22,506,"Carranza, Laura",10/18/2021,03/18/2022,Inactivo,"- Espectacular emplazamiento situado en la parte alta del barrio de Salamanca, en la plaza de Felipe II. La visualización de tu lona será elevada debido a su peculiar formato y al haber un enorme tráfico rodado en ambos sentidos de la calle Goya, desde donde es visible. Lugar de audiencia máxima y visible durante 24h al día al tratarse de una de las calles con más tráfico y ser uno de los puntos de paso obligados desde la M30 hacia el centro de Madrid. Visible desde la Plaza de Felipe II, donde se encuentra el famoso Wizink- Centre, combinado con multitud de terrazas al aire libre, hace que sea un punto visible durante todo el día. A pocos metros encontramos El Corte Inglés, con tiendas para jóvenes y adultos de todos los gustos y bolsillos.  En las calles paralelas como Conde de Peñalver, encontramos una zona comercial importante de la capital con tiendas como Zara, Bershka, Sfera o Women Secret.",49000,40.424226,-3.673524
027141,Sevilla,,Avda. Menendez Pelayo - Puerta de la Carne,,1,0,1,1,0,10,10,100,"Raabe, Tim",10/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
019831,Sevilla,,Dummy site 4,,1,0,1,1,0,10,10,100,"Raabe, Tim",03/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
023171,Sevilla,,Kansas,,1,0,1,1,0,10,10,100,"Raabe, Tim",02/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
