Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
057561,Madrid,Fuencarral 134,Fuencarral 134,,160000,13920,173920,133920,4360,24,19,456,"Carranza, Laura",12/09/2020,02/28/2021,Inactivo,"- Emplazamiento situado en una de las calles comerciales más transitadas de la capital, Fuencarral. Tiendas como Zara, Oysho o Natura hacen que sea una zona muy concurrida por público de todas las edades ya que es un barrio que ha ido modernizándose a lo largo de los años con multitud de bares y restaurantes: el conocido Sumo Sushi o la archiconocida Plaza de Olavide. Sin olvidarnos de su cercanía a la plaza de Quevedo, al barrio de Chamberí y al popularmente moderno barrio de Malasaña. Lugar de paso para los conductores que se desplazan hacia el centro de la ciudad, a través de Alberto Aguilera, como peatones que van a su lugar de trabajo, en la confluencia entre la Plaza de Bilbao, San Bernardo o Alonso Martínez. ¡Tu lona será visible las 24h del día!
- ",59800,0.000000,0.000000
057181,Madrid,,Galdo 1. Carmen,,190000,3800,193800,146300,3450,13.7,13,178.1,"Carranza, Laura",09/01/2020,01/12/2021,Inactivo,"- Emplazamiento situado en una de las calles comerciales más transitadas de toda España. Su magnífica ubicación, es destacable por estar en la vía de unión de obligado paso para los que van desde la Puerta del Sol hacia la Gran Vía, discurriendo entre las calles Carmen y Preciados. Tiendas cercanas como Apple Store, H&M, El Corte Inglés o FNAC hacen que audiencias de diferentes edades se concentren en esta área peatonal de máxima audiencia. La visibilidad es máxima durante las 24h del día debido a la oferta cultural cercana: cines, teatros…. Así como el gran número de bares y restaurantes, que hacen de ella un espacio bullicioso hasta largas horas de la madrugada.
- ",0,0.000000,0.000000
057341,Madrid,Santa Engracia 179-181,Glorieta Cuatro Caminos - Santa Engracia,,150000,18960,168960,131460,4500,41.66,12.2,508.252,"Carranza, Laura",11/01/2020,08/05/2021,Inactivo,"- Emplazamiento situado en una de las glorietas con mayor volumen de tráfico, tanto rodado como peatonal de la capital, debido a la convergencia de varias calles principales y a la presencia una de las principales estaciones de metro, Cuatro Caminos, así como múltiples paradas de autobuses. Frontal al tráfico proveniente de Bravo Murillo, largo recorrido de visibilidad garantizado. Zona residencial de alto nivel, calle Santa Engracia, Raimundo Fernández de Villaverde. Su cercanía a la Universidad y a las residencias de estudiantes, garantiza la afluencia de un público joven. La calle Bravo Murillo es una de las arterias más comerciales de la ciudad, con tiendas como Lefties, o Etam. El ocio también encuentra su sitio, al igual que centros deportivos, colegios u Hospitales. Todo ello hace que este emplazamiento sea óptimo para posicionar tu marca, ya que será visible durante todo el día. No lejos queda el centro comercial de El Corte Inglés, lo que atraerá a un número de público de todas las edades y bolsillos.
- ",85000,40.446092,-3.703764
056581,Madrid,Goya 19,Goya 19,,165000,23176.47,188176.47,146926.47,17544,42.15,18,758.7,"Carranza, Laura",10/01/2020,04/15/2021,Inactivo,"- Este llamativo emplazamiento goza de una ubicación privilegiada en el distrito de Salamanca, uno de los barrios más característicos de Madrid. Forma parte de la conocida „Milla de Oro“, ya que se encuentra ubicada en las inmediaciones de las calles Serrano y Velázquez, donde los bolsillos más exigentes, pasean por tiendas de lujo como Valentino, Chanel y Jimmy Choo, a la vez que disfrutan de la oferta gastronómica y cultural que ofrece la zona. Lugar bullicioso durante todo el día, ya que los restaurantes de chefs de renombre, se nutren de los ejecutivos que tienen sus oficinas por la zona, y es también encuentro de jóvenes, por las tiendas pensadas para ellos como Douglas, Zara, Mango, Pull & Bear o Uniqlo, así como los bares nocturnos. El emplazamiento es muy visible también para el tráfico rodado ya que esta calle, en su continuación de la Calle Génova, es paso desde la A-6 hasta la M-30.",86200,0.000000,0.000000
055781,Madrid,Gran Vía 12,Gran Vía 12,,165000,10228.23,175228.23,133978.23,9853,23,19.2,441.6,"Carranza, Laura",05/01/2020,07/31/2020,Inactivo,"- Este espectacular emplazamiento se encuentra en la avenida más famosa y vibrante de Madrid. Gran Via debe su encanto a sus bellos edificios, elegantes bares, tiendas de lujo como Loewe y famosas cadenas de moda como H&M, Mango y Zara. En esta concurrida calle se reúnen jóvenes, empresarios de alto nivel y personas entrando y saliendo de la ciudad. Con el segundo Primark más grande del mundo, este es el lugar donde encontraremos a un público joven y moderno. Este emplazamiento está rodeado de una gran variedad de negocios y hoteles y es perfectamente visible desde el conocido edificio Grassy, una relojería de lujo, que atrae a un grupo objetivo sofisticado y acaudalado. La calle que nunca duerme - gracias a la vibrante vida nocturna en esta zona, hay un gran volumen de tráfico peatonal día y noche. Tu lona será visible las 24 horas del día, durante toda la semana, lo que hace que sea imposible que se la pasen de largo ni los que van de compras, ni los noctámbulos o los conductores en su paseo desde Castellana al centro de la ciudad o saliendo de la ciudad con destino a la M-30 o a la N-VI",115000,40.419678,3.699002
056571,Madrid,Gran Vía 12 + Gran Vía 14,Gran Vía 12 + Gran Vía 14,,210000,16300,226300,173800,8835,33,14,462,"Carranza, Laura",05/01/2020,07/31/2020,Inactivo,"- Casi 900 m2 de superficie, denominado como BIG One, se encuentra cercano a Loewe, o tiendas comerciales, concentrando gran volumen de peatones durante todo el día. Cercano a la Castellana, esta gran lona será visible desde el conocido edificio Grassy, relojería de lujo. Por su localización geográfica, cercana a la Calle Alcalá, Recoletos y Paseo del Prado es, en este tramo de la Gran Vía, dónde encontramos más hoteles, lo que convierte a este emplazamiento en un punto altamente visible por todo tipo de público, desde el más joven hasta el adulto, atraído por la vida nocturna que también les ofrece la zona. Zona exclusiva de negocios y hoteles, desde el público más joven hasta el adulto más exigente. Con una vibrante vida nocturna, el emplazamiento será visible las 24 horas del día y va a ser imposible pasar de largo sin detenerse a observarlo. También será visible por parte del los conductores ya que esta calle es paso obligatorio desde El Paseo del Prado al centro o para salir de la ciudad con destino a la M-30.",115000,0.000000,0.000000
055461,Madrid,Madrid,Gran Vía 14,,180000,10941.17,190941.17,145941.17,9853,22.85,19.2,438.72,"Carranza, Laura",05/01/2019,07/06/2021,Inactivo,"- Este espectacular emplazamiento se encuentra en la avenida más famosa y vibrante de Madrid. Gran Via debe su encanto a sus bellos edificios, elegantes bares, tiendas de lujo como Loewe y famosas cadenas de moda como H&M, Mango y Zara. En esta concurrida calle se reúnen jóvenes, empresarios de alto nivel y personas entrando y saliendo de la ciudad. Con el segundo Primark más grande del mundo, este es el lugar donde encontraremos a un público joven y moderno. Este emplazamiento está rodeado de una gran variedad de negocios y hoteles y es perfectamente visible desde el conocido edificio Grassy, una relojería de lujo, que atrae a un grupo objetivo sofisticado y acaudalado. La calle que nunca duerme - gracias a la vibrante vida nocturna en esta zona, hay un gran volumen de tráfico peatonal día y noche. Tu lona será visible las 24 horas del día, durante toda la semana, lo que hace que sea imposible que se la pasen de largo ni los que van de compras, ni los noctámbulos o los conductores en su paseo desde Castellana al centro de la ciudad o saliendo de la ciudad con destino a la M-30 o a la N-VI",115000,40.419762,-3.699148
052421,Madrid,Gran Vía 18,Gran vía 18,,240000,18235.29,258235.29,198235.29,13403,38,18,684,"Carranza, Laura",09/09/2019,08/31/2020,Inactivo,"- Ubicado en pleno corazón de Madrid, este emplazamiento está en una de las calles más representativas de la ciudad. Rodeado de edificios singulares, bares, tiendas de lujo como Loewe, o tiendas españolas conocidas internacionalmente, hacen de este lugar un punto muy concurrido durante todo el día. Con una vibrante vida nocturna, con cines, musicales o teatros, esta gran lona será visible las 24 horas del día y va a ser imposible pasarla de largo.  Aunque esta calle está recientemente reformada y ha dado prioridad al peatón frente al vehículo, aún sigue habiendo mucho tráfico,  ya que es paso desde el Paseo del Prado al centro o para salir de la ciudad con destino a la M-30 o N-VI.",115000,40.419923,-3.699805
053911,Madrid,Gran Vía 29 ,Gran Vía 29 ,,285000,17500,302500,234338.23,15708,43.35,20.4,884.34,"Carranza, Laura",09/01/2019,05/31/2020,Inactivo,"- Este imponente emplazamiento, se encuentra en uno de los mejores espacios de Madrid. En el centro de la Capital, rodeado de edificios históricos como el de Telefónica o el primer McDonald’s que se abrió en la ciudad  y al lado de la famosa calle Fuencarral, donde se pueden encontrar tiendas tan variadas como el perfil de los peatones que la transitan. Enfrentada a la gran tienda de Primark, hace que sea altamente visualizada durante todo el día, ya que estas calles poseen una enorme afluencia de público.  Rodeada de cines y teatros, la vida nocturna es habitual todos los días de la semana. Todo este encanto convierte a esta ubicación en destino tanto para el turista como el local. También está capacitado de tráfico muy intenso al ser paso obligado para los vehículos que vienen de fuera de la ciudad con el fin de trabajar en el centro.",151000,40.419887,-3.702185
055941,Madrid,Gran Via 39 / Pl Callao,Gran Via 39 / Pl Callao,,380000,40588.23,420588.23,325588.23,13968.9,41.5,22,913,"Ramon, Silvia",03/01/2020,09/30/2020,Perdido (otra razon),"- Fantástico emplazamiento situado en uno de los tramos más espaciosos y visibles de la famosa Gran Vía de Madrid, patente desde Plaza España. Imposible perdérselo en el camino hacia Plaza Callao, donde jóvenes y adultos transitan las 24 horas del día, por la oferta cultural de teatros como el Teatro Muñoz Seca, Rialto, o Lope de Vega, cines como Capitol, o la famosa Fnac, así como por su oferta gastronómica y comercial, al encontrarse justo al lado de las internacionalmente conocidas galerías El Corte Inglés quien cuenta con tiendas de lujo, pensadas para atraer a los bolsillos más exigentes. Tu lona tendrá una visualización larga durante todo el día, al encontrarse en esta área tan bulliciosa de la ciudad que nunca duerme, con un tráfico peatonal elevado, gracias a la reciente ampliación de su acera. ",151000,40420240.000000,-3.705376
057111,Madrid,JUAN HURTADO MENDOZA 4,JUAN HURTADO MENDOZA 4. STYLE PROJECT PURETI,,30338,0,30338,22753.5,0,138,14,1932,"Carranza, Laura",07/20/2020,02/28/2021,Inactivo,- ,0,0.000000,0.000000
051661,Madrid,,Palacio de la Prensa,,300000,44117.65,344117.65,269117.65,38556,63,28,1764,"Carranza, Laura",12/01/2019,11/30/2020,Inactivo,"- Espectacular y emblemático emplazamiento en Madrid
- Ubicado en la famosa Gran Vía, frente a  Callao y  perfectamente visible por los 3 carriles de tráfico, en ambos sentidos de la marcha.
- Goza de una altísima visibilidad, tanto peatonal, como de tráfico rodado gracias a las continuas retenciones sobretodo en horas punta.
- Más de 1.700.000 contactos / mes. Audiencia joven y moderna dado que en las cercanías del emplazamiento podemos encontrar numerosos centros comerciales y tiendas de moda y accesorios. 
- Gran Vía también es famosa por sus cines y teatros, donde se celebran numerosos eventos musicales internacionales de forma regular.
- La efervescente Gran Vía es uno de los lugares de shopping más importantes de la ciudad y alberga la mayor vida nocturna de
- las capitales europeas. 
- Día y noche, esta zona está siempre en movimiento.
- ",54410,40.420581,-3.705942
055491,Madrid,Plaza Lavapiés 5,Plaza Lavapiés 5,,75000,4985,79985,92753.52,3185,11.87,13.9,164.993,"Carranza, Laura",01/01/2020,05/31/2020,Inactivo,"- Emplazamiento situado en la famosa y céntrica plaza de Lavapiés, un espacio abierto en el sinuoso trazado del entorno, que hace que esta lona sea un punto altamente visualizado por peatones y vehículos. Los bares y las terrazas se amontonan a lo largo de la calle Argumosa, que une la plaza de Lavapiés con la Ronda de Atocha. Es habitual encontrarse los fines de semana con las barras y las mesas llenas de grupos de amigos que charlan en torno a unas cañas. La ruta de tapas conocida como Tapapiés tiene lugar sobre todo en esta vía. La actividad cultural es incesante en este barrio, con centros como la Biblioteca de la Universidad a distancia o la Tabacalera de Lavapiés, organización social que atrae tanto a jóvenes como adultos llevando a cabo obras sociales. Zona muy bulliciosa también por la noche, por su oferta cultural, con teatros como el de Valle-Inclán, así como la variedad de restaurantes internacionales que alberga. Será imposible pasar de largo sin mirar esta lona ya que hoy esta plaza se ha convertido en un espacio cosmopolita y multiracial en convivencia con nuevas generaciones y propuestas culturales. ",33000,40.408725,-3.700780
056481,Madrid,Felipe  Neri 1- Calle Mayor,Plaza Mayor - Felipe Neri ,,100000,10235.29,110235.29,85235.29,7038,25.15,13,326.95,"Carranza, Laura",11/01/2020,04/30/2021,Inactivo,"- Emplazamiento situado en uno de los barrios más antiguos de Madrid, Los Austrias, rodeado de edificios como La Plaza de la Villa, el Palacio Real o la Catedral de la Almudena. Esta oferta cultural hace que esta zona sea un lugar de atracción para todos los turistas que llegan a Madrid. Lugar de paso entre la Puerta del Sol, Plaza Mayor y el Mercado de San Miguel; considerado “el triángulo turístico de Madrid” pero también para los locales con tiendas tradicionales. Esta localización estratégica, hace que el emplazamiento sea uno de los puntos más céntricos de la capital. Turistas, locales y jóvenes junto con el tráfico rodado, se juntan convirtiéndose en uno de los lugares más bulliciosos las 24 horas del día. ",19000,0.000000,0.000000
054061,Madrid,República Dominicana 7,República Dominicana 7 ,,120000,19882.35,139882.35,109882.35,9574,38,19,722,"Carranza, Laura",01/01/2020,05/31/2020,Inactivo,"- Emplazamiento situado en una de las zonas de más tráfico de Madrid, por ser paso a la N-I, M-30 desde Principe de Vergara y Costa Rica. Los atascos son frecuentes, lo que hacen que esta lona sea largamente visualizada desde muchos puntos. Zona de numerosos colegios nacionales e internacionales, la convierten en paseo obligado de jóvenes y mayores, que por las tardes llenan sus terrazas para tomar algo con los amigos como Dunkin Donuts, Vips o Goiko Grill, e ir de compras por las tiendas más adolescentes como Calzedonia o Tiger.",59065,40.457612,-3.676472
029881,Madrid,,Serrano 29,,26026,0,26026,26026,0,16,6,96,"Raabe, Tim",01/01/2006,12/31/2025,Público nivel interno,- asdf,0,0.000000,0.000000
027141,Sevilla,,Avda. Menendez Pelayo - Puerta de la Carne,,1,0,1,1,0,10,10,100,"Raabe, Tim",10/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
019831,Sevilla,,Dummy site 4,,1,0,1,1,0,10,10,100,"Raabe, Tim",03/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
023171,Sevilla,,Kansas,,1,0,1,1,0,10,10,100,"Raabe, Tim",02/01/2005,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
